Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
MON,76,86,32,429,162,1446.0,4.61,3.56,0.73,.264,74.7%,,,,3.42,,3.86,,5.7,1978,
NYY,89,71,37,377,160,1432.1,4.59,2.86,0.77,.283,71.3%,,,,3.85,,3.81,,20.7,1979,
BOS,91,69,29,358,160,1431.1,4.60,2.91,0.84,.285,70.9%,,,,4.02,,3.97,,20.4,1979,
MIN,82,80,33,375,162,1444.1,4.49,2.82,0.80,.302,70.9%,,,,4.16,,3.86,,19.8,1979,
BAL,102,57,30,326,159,1434.1,4.93,2.93,0.83,.255,74.9%,,,,3.28,,3.85,,19.1,1979,
CHC,80,82,44,449,162,1446.2,5.80,3.24,0.79,.298,71.9%,,,,3.90,,3.75,,18.9,1979,
PIT,98,64,52,489,163,1493.1,5.45,3.04,0.75,.276,73.8%,,,,3.42,,3.68,,17.7,1979,
CIN,90,71,40,442,161,1440.1,4.83,3.03,0.64,.279,71.8%,,,,3.60,,3.64,,17.6,1979,
HOU,89,73,31,399,162,1447.2,5.31,3.13,0.56,.262,72.9%,,,,3.20,,3.45,,17.1,1979,
LAD,79,83,34,402,162,1444.0,5.05,3.46,0.63,.282,69.1%,,,,3.86,,3.73,,16.2,1979,
ATL,66,94,34,443,160,1407.2,4.98,3.16,0.84,.290,68.7%,,,,4.18,,3.99,,15.9,1979,
TEX,83,79,42,379,162,1437.0,4.84,3.33,0.85,.267,70.8%,,,,3.86,,4.05,,15.4,1979,
CAL,88,74,33,371,162,1436.0,5.14,3.59,0.82,.286,69.0%,,,,4.34,,4.04,,15.1,1979,
MON,95,65,39,420,160,1447.1,5.06,2.80,0.72,.272,75.2%,,,,3.14,,3.63,,15.0,1979,
SEA,67,95,26,379,162,1438.0,4.61,3.57,1.03,.292,69.6%,,,,4.61,,4.46,,14.7,1979,
CLE,81,80,32,402,161,1431.2,4.91,3.58,0.87,.289,67.8%,,,,4.58,,4.14,,14.7,1979,
PHI,84,78,29,424,163,1441.1,4.91,2.98,0.84,.283,70.1%,,,,4.16,,3.91,,13.0,1979,
DET,84,76,37,381,160,1423.1,5.07,3.46,1.06,.278,71.8%,,,,4.28,,4.38,,12.9,1979,
CHW,73,86,37,395,159,1409.0,4.31,3.95,0.73,.268,68.4%,,,,4.13,,4.23,,12.5,1979,
MIL,95,66,23,365,161,1439.2,3.63,2.38,1.01,.282,71.5%,,,,4.04,,4.22,,12.1,1979,
STL,86,76,25,438,163,1486.2,4.77,3.03,0.77,.274,71.2%,,,,3.74,,3.83,,12.1,1979,
SDP,68,93,25,440,161,1453.0,4.83,3.18,0.67,.281,70.9%,,,,3.70,,3.73,,11.4,1979,
NYM,63,99,36,491,163,1482.2,4.97,3.68,0.73,.285,72.4%,,,,3.84,,3.96,,10.3,1979,
OAK,54,108,20,405,162,1429.1,4.57,4.12,0.93,.300,68.9%,,,,4.78,,4.53,,8.0,1979,
KCR,85,77,27,401,162,1448.1,3.98,3.33,1.03,.269,67.7%,,,,4.46,,4.50,,7.6,1979,
TOR,53,109,11,357,162,1417.0,3.89,3.77,1.05,.285,67.5%,,,,4.85,,4.72,,7.0,1979,
SFG,71,91,34,464,162,1436.0,5.52,3.62,0.90,.290,70.8%,,,,4.17,,4.06,,5.8,1979,
NYY,103,59,50,372,162,1464.1,5.19,2.85,0.63,.283,70.8%,,,,3.59,,3.50,,23.4,1980,
HOU,93,70,41,409,163,1482.2,5.64,2.83,0.42,.278,72.0%,,,,3.11,,3.10,,21.6,1980,
PHI,91,71,40,439,162,1480.0,5.41,3.22,0.53,.282,72.0%,,,,3.46,,3.43,,20.2,1980,
MIN,77,84,30,374,161,1451.0,4.61,2.90,0.74,.289,69.5%,,,,3.93,,3.82,,18.0,1980,
TEX,76,85,25,418,163,1451.2,5.52,3.22,0.74,.304,70.0%,,,,4.04,,3.74,,17.1,1980,
PIT,83,79,43,433,162,1458.1,5.13,2.78,0.68,.281,71.8%,,,,3.58,,3.58,,16.9,1980,
MON,90,72,36,442,162,1456.2,5.08,2.84,0.62,.283,72.7%,,,,3.48,,3.51,,16.0,1980,
BOS,83,77,43,398,160,1441.1,4.35,3.00,0.81,.294,68.9%,,,,4.39,,4.02,,15.8,1980,
LAD,92,71,42,429,163,1472.2,5.10,2.93,0.64,.267,73.9%,,,,3.26,,3.55,,15.6,1980,
BAL,100,62,41,351,162,1460.0,4.86,3.13,0.83,.279,74.6%,,,,3.64,,3.95,,15.5,1980,
CHC,64,98,35,506,162,1479.0,5.62,3.58,0.66,.298,71.1%,,,,3.89,,3.71,,14.4,1980,
CLE,79,81,32,385,160,1428.0,5.31,3.48,0.86,.297,67.8%,,,,4.68,,4.05,,13.9,1980,
DET,84,78,30,373,163,1467.1,4.54,3.42,0.93,.279,71.0%,,,,4.26,,4.29,,13.9,1980,
SEA,59,103,26,399,163,1457.1,4.34,3.33,0.98,.287,70.1%,,,,4.38,,4.37,,13.9,1980,
CHW,70,90,42,398,162,1435.1,4.54,3.53,0.68,.278,69.7%,,,,3.92,,3.98,,13.8,1980,
OAK,83,79,13,307,162,1471.2,4.70,3.19,0.87,.256,73.9%,,,,3.49,,4.09,,13.7,1980,
CIN,89,73,37,425,163,1459.1,5.14,3.12,0.70,.276,71.0%,,,,3.85,,3.68,,13.5,1980,
ATL,81,80,37,450,161,1428.0,4.39,2.86,0.83,.268,71.9%,,,,3.77,,3.98,,13.3,1980,
KCR,97,65,42,363,162,1459.1,3.79,2.87,0.80,.275,71.5%,,,,3.84,,4.06,,12.6,1980,
SFG,75,86,35,449,161,1448.1,5.04,3.06,0.57,.285,72.5%,,,,3.46,,3.54,,12.0,1980,
MIL,86,76,30,393,162,1450.1,3.57,2.61,0.85,.279,72.5%,,,,3.73,,4.11,,10.2,1980,
TOR,67,95,23,448,162,1466.0,4.33,3.90,0.83,.285,71.3%,,,,4.20,,4.34,,10.1,1980,
STL,74,88,27,459,162,1447.0,4.13,3.08,0.56,.282,68.3%,,,,3.93,,3.71,,10.0,1980,
CAL,65,95,30,428,160,1428.1,4.57,3.33,0.89,.292,68.7%,,,,4.52,,4.21,,9.8,1980,
SDP,73,89,39,459,163,1466.1,4.47,3.29,0.60,.284,72.5%,,,,3.66,,3.74,,9.2,1980,
NYM,67,95,33,486,162,1451.1,5.49,3.16,0.87,.287,72.0%,,,,3.88,,3.88,,7.3,1980,
HOU,61,49,25,274,110,990.0,5.55,2.73,0.36,.261,74.9%,,,,2.66,,2.84,,15.6,1981,
NYY,59,48,30,268,107,948.0,5.75,2.72,0.61,.263,75.5%,,,,2.90,,3.14,,15.6,1981,
CLE,52,51,13,214,103,931.0,5.50,3.01,0.65,.303,71.4%,,,,3.88,,3.35,,14.7,1981,
LAD,63,47,24,297,110,997.0,5.44,2.73,0.49,.272,75.5%,,,,3.01,,3.05,,14.6,1981,
SEA,44,65,23,309,110,997.1,4.31,3.25,0.69,.288,68.3%,,,,4.24,,3.76,,12.8,1981,
MON,60,48,23,291,108,975.0,4.80,2.47,0.54,.268,71.7%,,,,3.30,,3.19,,12.5,1981,
ATL,50,56,24,322,107,968.0,4.38,3.07,0.58,.273,72.3%,,,,3.45,,3.52,,10.8,1981,
TEX,57,48,18,247,105,940.1,4.67,3.08,0.64,.260,73.1%,,,,3.40,,3.57,,9.6,1981,
PHI,59,48,23,291,107,960.1,5.44,3.25,0.67,.291,69.8%,,,,4.05,,3.49,,9.4,1981,
CHW,54,52,23,279,106,940.2,5.06,3.21,0.70,.272,72.1%,,,,3.50,,3.63,,9.4,1981,
OAK,64,45,10,221,109,993.0,4.58,3.35,0.73,.252,75.1%,,,,3.30,,3.83,,8.6,1981,
DET,60,49,22,255,109,969.1,4.42,3.46,0.77,.246,74.4%,,,,3.54,,3.97,,8.6,1981,
CIN,66,42,20,290,108,965.2,5.53,3.66,0.62,.265,70.5%,,,,3.73,,3.53,,8.5,1981,
PIT,46,56,29,304,103,942.0,4.70,3.31,0.57,.287,72.3%,,,,3.56,,3.53,,8.4,1981,
KCR,50,53,24,230,103,922.1,3.94,2.66,0.73,.269,72.7%,,,,3.56,,3.73,,8.4,1981,
MIN,41,68,22,275,110,979.2,4.59,3.45,0.73,.289,71.2%,,,,3.98,,3.83,,8.3,1981,
CHC,38,65,20,369,106,956.2,5.00,3.65,0.56,.292,69.4%,,,,4.02,,3.57,,8.1,1981,
TOR,37,69,18,295,106,953.1,4.26,3.56,0.68,.265,70.1%,,,,3.81,,3.94,,7.9,1981,
STL,59,43,33,322,103,943.0,3.70,2.77,0.50,.269,69.7%,,,,3.63,,3.46,,7.9,1981,
CAL,51,59,19,265,110,971.1,3.95,2.99,0.75,.271,71.4%,,,,3.71,,3.87,,7.7,1981,
MIL,62,47,35,308,109,986.0,4.09,3.21,0.66,.280,71.5%,,,,3.91,,3.75,,7.7,1981,
BOS,59,49,24,265,108,987.1,4.89,3.23,0.82,.279,71.3%,,,,3.83,,3.86,,7.6,1981,
SFG,56,55,33,322,111,1009.1,5.00,3.50,0.51,.279,74.4%,,,,3.28,,3.46,,7.4,1981,
BAL,59,46,23,238,105,940.0,4.68,3.32,0.79,.277,72.5%,,,,3.70,,3.86,,6.8,1981,
NYM,41,62,24,339,105,926.1,4.76,3.26,0.72,.274,71.5%,,,,3.55,,3.71,,4.6,1981,
SDP,41,69,23,349,110,1002.0,4.42,3.72,0.57,.287,73.0%,,,,3.73,,3.74,,4.2,1981,
NYY,79,83,39,413,162,1459.0,5.79,3.03,0.70,.292,69.4%,,,,4.00,,3.49,,24.1,1982,
PHI,89,73,33,449,162,1456.1,6.19,2.92,0.53,.290,69.9%,,,,3.61,,3.14,,22.7,1982,
CHW,87,75,41,420,162,1439.0,4.71,2.88,0.62,.292,69.1%,,,,3.87,,3.58,,22.4,1982,
LAD,88,74,28,457,162,1488.1,5.64,2.83,0.49,.272,71.2%,,,,3.28,,3.16,,22.0,1982,
SEA,76,86,39,465,162,1476.0,6.11,3.34,1.05,.279,73.3%,,,,3.90,,4.05,,21.2,1982,
CLE,78,84,30,383,162,1468.1,5.41,3.61,0.75,.279,69.2%,,,,4.12,,3.84,,20.4,1982,
CAL,93,69,27,410,162,1464.0,4.48,2.96,0.76,.274,72.2%,,,,3.82,,3.90,,19.4,1982,
MON,86,76,43,412,162,1460.2,5.77,2.76,0.68,.276,72.6%,,,,3.33,,3.38,,18.8,1982,
TOR,78,84,25,382,162,1443.2,4.84,3.07,0.92,.273,71.5%,,,,3.95,,4.04,,17.5,1982,
CIN,61,101,31,455,162,1460.1,6.15,3.51,0.65,.290,72.4%,,,,3.67,,3.51,,17.0,1982,
BAL,94,68,34,394,163,1462.1,4.43,3.00,0.90,.268,72.3%,,,,3.99,,4.09,,15.0,1982,
HOU,77,85,31,406,162,1446.2,5.59,2.98,0.54,.276,71.2%,,,,3.42,,3.32,,14.9,1982,
BOS,89,73,33,376,162,1453.0,5.05,2.96,0.96,.294,73.2%,,,,4.04,,4.04,,14.7,1982,
ATL,89,73,51,476,162,1463.0,5.00,3.09,0.78,.286,71.3%,,,,3.82,,3.80,,13.7,1982,
PIT,84,78,39,442,162,1466.2,5.73,3.20,0.72,.283,70.8%,,,,3.82,,3.62,,13.6,1982,
TEX,64,98,24,376,162,1431.0,4.34,3.04,0.81,.294,70.0%,,,,4.30,,4.01,,13.2,1982,
CHC,73,89,43,516,162,1447.1,4.75,2.81,0.78,.288,70.6%,,,,3.93,,3.78,,13.0,1982,
SFG,87,75,45,485,162,1465.1,4.97,2.86,0.67,.290,71.0%,,,,3.67,,3.58,,11.3,1982,
MIL,95,67,47,376,163,1467.1,4.40,3.13,0.93,.281,72.5%,,,,3.99,,4.17,,11.2,1982,
DET,83,79,27,390,162,1451.0,4.59,3.44,1.07,.259,74.0%,,,,3.81,,4.43,,11.2,1982,
STL,92,70,47,480,162,1465.1,4.23,3.08,0.58,.274,73.7%,,,,3.37,,3.68,,10.8,1982,
KCR,90,72,45,390,162,1431.0,4.09,2.96,1.03,.267,71.4%,,,,4.08,,4.33,,7.7,1982,
NYM,65,97,37,440,162,1447.1,4.72,3.62,0.74,.290,71.3%,,,,3.88,,3.98,,6.3,1982,
SDP,81,81,41,439,162,1476.0,4.66,3.06,0.85,.254,72.5%,,,,3.52,,3.98,,6.2,1982,
OAK,68,94,22,401,162,1456.0,4.31,4.01,1.09,.272,70.5%,,,,4.54,,4.74,,3.6,1982,
MIN,60,102,30,406,162,1433.0,5.10,4.04,1.31,.279,71.4%,,,,4.77,,4.84,,0.9,1982,
PHI,90,72,41,463,163,1461.2,6.72,2.86,0.68,.294,72.8%,,,,3.35,,3.25,,23.8,1983,
TEX,77,85,32,353,163,1466.2,5.07,2.89,0.60,.276,73.2%,,,,3.31,,3.53,,22.1,1983,
NYY,91,71,32,364,162,1456.2,5.51,2.81,0.72,.285,69.3%,,,,3.89,,3.54,,22.1,1983,
LAD,91,71,40,441,163,1464.0,6.15,3.04,0.60,.274,72.4%,,,,3.11,,3.31,,21.2,1983,
CHW,99,63,48,405,162,1445.0,5.46,2.78,0.80,.271,71.6%,,,,3.69,,3.69,,20.6,1983,
PIT,84,78,41,452,162,1462.1,6.53,3.47,0.67,.287,72.6%,,,,3.55,,3.46,,19.5,1983,
BAL,98,64,38,387,162,1452.1,4.80,2.80,0.81,.279,72.8%,,,,3.64,,3.81,,17.3,1983,
MON,82,80,34,415,163,1471.0,5.50,2.93,0.73,.278,72.7%,,,,3.59,,3.64,,16.4,1983,
SEA,60,102,39,444,162,1418.1,5.77,3.45,0.92,.294,70.8%,,,,4.19,,4.04,,16.1,1983,
CHC,71,91,42,531,162,1428.2,5.08,3.14,0.74,.296,70.1%,,,,4.08,,3.79,,16.0,1983,
CLE,70,92,25,388,162,1441.2,4.96,3.30,0.75,.297,67.9%,,,,4.43,,3.90,,15.7,1983,
CAL,70,92,23,399,162,1474.0,4.08,3.03,0.79,.297,69.8%,,,,4.32,,4.07,,15.7,1983,
ATL,88,74,48,467,162,1440.2,5.59,3.37,0.82,.283,74.6%,,,,3.67,,3.88,,14.8,1983,
TOR,89,73,32,419,162,1445.1,5.20,3.22,0.90,.278,70.8%,,,,4.12,,4.06,,14.1,1983,
DET,92,70,28,367,162,1451.0,5.43,3.24,1.05,.257,73.0%,,,,3.82,,4.21,,13.5,1983,
HOU,85,77,48,423,162,1466.1,5.55,3.50,0.58,.261,70.5%,,,,3.45,,3.58,,12.6,1983,
SFG,79,83,47,438,162,1445.2,5.48,3.24,0.79,.281,71.2%,,,,3.73,,3.82,,11.7,1983,
BOS,78,84,42,363,162,1446.1,4.77,3.07,0.98,.294,70.5%,,,,4.34,,4.20,,10.9,1983,
MIL,87,75,43,373,162,1454.0,4.26,3.04,0.82,.283,71.7%,,,,4.02,,4.07,,10.2,1983,
KCR,79,83,49,392,163,1437.2,3.71,2.95,0.83,.281,68.6%,,,,4.26,,4.17,,9.8,1983,
CIN,74,88,29,433,162,1441.1,5.83,3.92,0.84,.276,71.4%,,,,4.01,,4.02,,9.8,1983,
SDP,81,81,44,457,163,1467.2,5.21,3.24,0.88,.269,74.1%,,,,3.62,,4.01,,9.1,1983,
STL,79,83,27,489,162,1460.2,4.37,3.23,0.71,.281,70.6%,,,,3.83,,3.93,,8.1,1983,
NYM,68,94,33,436,162,1451.0,4.45,3.81,0.60,.272,71.1%,,,,3.68,,3.95,,7.8,1983,
OAK,74,88,33,449,162,1454.1,4.45,3.87,0.84,.275,69.3%,,,,4.35,,4.33,,7.0,1983,
